"run_code";"min_soil_depth_frac";"log_ksat";"log_recession_coef";"degree_day_factor";"average_ns_discharge";"baseflow_deviation";"general_performance"
"code__a__48";1;-0.5;0.5;"1";0.301070916945641;0.711985126208383;0.175860708330123
"code__a__13";1;1;0;"0.5";0.283583457201323;0.61765474744726;0.175305303958605
"code__a__33";1;-0.5;1;"0.5";0.302112911833667;0.723514148695985;0.17528890729574
"code__a__49";1;-0.5;1;"1";0.302387620280308;0.728788171351949;0.174913054873481
"code__a__32";1;-0.5;0.5;"0.5";0.298512184057213;0.708753970259285;0.174695824707823
"code__a__19";1;1;0;"1";0.28034135665499;0.617857614551419;0.173279375226552
"code__a__42";1;1;0.5;"0.5";0.291264975398454;0.696372473643144;0.171698715891641
"code__a__35";1;0;0.5;"0.5";0.296742399442203;0.732212514427852;0.171308310597338
"code__a__64";1;-0.5;0.5;"1.5";0.293629989443923;0.714092883500731;0.171303429510912
"code__a__39";1;0.5;0.5;"0.5";0.293128423515205;0.711555804150618;0.171264309819377
"code__a__38";1;0.5;0;"0.5";0.282197722556103;0.650076193199896;0.171021025404199
"code__a__11";1;-1;1;"0.5";0.277899363612674;0.629981878610128;0.17049230255838
"code__a__51";1;0;0.5;"1";0.295754547621641;0.735862890280554;0.170378979398448
"code__a__31";1;-0.5;0;"0.5";0.288371056647567;0.695426309040755;0.170087638200402
"code__a__58";1;1;0.5;"1";0.288502332786459;0.699086364554269;0.169798509837458
"code__a__25";1;1;0;"1.5";0.274574595842867;0.618237829865949;0.169675056889266
"code__a__47";1;-0.5;0;"1";0.287656264074718;0.696440442592732;0.169564611201489
"code__a__17";1;-1;1;"1";0.276519327526687;0.632305207445648;0.169404181439453
"code__a__55";1;0.5;0.5;"1";0.290431965992103;0.71474414127394;0.169373353727473
"code__a__65";1;-0.5;1;"1.5";0.292763230788797;0.731475237255103;0.169083117384291
"code__a__2";1;0;0;"0.5";0.287077824226462;0.699945492439446;0.168874723044502
"code__a__28";1;-1;0.5;"0.5";0.273364961373872;0.619213866711487;0.16882572895022
